session_id,visit_date,country,device_type,traffic_source,product_category_viewed,pages_viewed,time_on_site_minutes,added_to_cart,purchased,order_value_usd,cart_to_view_ratio,satisfaction_score,predicted_session_value,customer_segment
38,2023-08-11,2,2,2,0,9,3.12,0,1,48.76,0.0,6.245011971268955,43.47730050039505,1
39,2023-01-29,2,2,1,5,8,4.56,1,1,56.24,0.1111111111111111,6.819632881085395,38.64648933368449,1
40,2024-06-14,4,2,2,1,3,4.64,0,0,0.0,0.0,1.8515562649640862,14.492433500131686,0
41,2023-12-27,0,1,0,5,6,5.9,0,0,0.0,0.0,2.354349561053472,28.98486700026337,2
42,2023-02-27,4,2,5,2,3,6.14,1,0,0.0,0.25,2.450119712689545,14.492433500131686,2
43,2023-08-15,4,0,3,0,4,7.97,0,1,30.24,0.0,8.180367118914605,19.323244666842246,1
44,2023-01-12,3,2,0,4,4,9.05,0,0,0.0,0.0,3.611332801276936,19.323244666842246,2
45,2024-11-06,1,1,4,2,7,2.17,1,1,87.19,0.125,5.865921787709497,33.81567816697393,1
46,2024-07-11,0,0,0,5,6,6.28,0,0,0.0,0.0,2.5059856344772546,28.98486700026337,2
47,2024-01-09,1,1,3,4,10,8.07,0,0,0.0,0.0,3.220271348762969,48.308111667105614,2
48,2024-06-01,5,2,4,2,10,4.3,0,1,29.06,0.0,6.715881883479649,48.308111667105614,1
49,2023-02-03,1,0,1,2,6,6.34,1,1,145.71,0.14285714285714285,7.529928172386273,28.98486700026337,1
50,2024-09-15,3,0,5,3,12,6.72,0,1,200.62,0.0,7.681564245810056,57.96973400052674,1
51,2023-04-16,3,1,4,2,7,5.99,0,0,0.0,0.0,2.390263367916999,33.81567816697393,2
52,2023-04-21,3,2,1,2,3,6.81,0,0,0.0,0.0,2.717478052673583,14.492433500131686,2
53,2023-12-26,1,1,3,1,9,5.53,0,0,0.0,0.0,2.206703910614525,43.47730050039505,0
54,2024-06-07,2,2,3,4,5,5.85,1,1,121.0,0.16666666666666666,7.334397446129289,24.154055833552807,1
55,2023-09-10,1,2,1,3,8,4.76,0,0,0.0,0.0,1.899441340782123,38.64648933368449,0
56,2023-01-03,1,2,0,3,6,4.38,0,0,0.0,0.0,1.74780526735834,28.98486700026337,0
57,2023-09-30,0,0,1,1,5,4.19,1,1,30.95,0.16666666666666666,6.671987230646449,24.154055833552807,1
58,2023-02-03,0,0,1,5,8,5.99,0,0,0.0,0.0,2.390263367916999,38.64648933368449,2
59,2024-01-12,2,1,3,3,3,4.7,0,0,0.0,0.0,1.8754988028731048,14.492433500131686,0
60,2024-08-29,3,0,2,5,3,5.03,0,0,0.0,0.0,2.0071827613727056,14.492433500131686,0
61,2023-08-11,1,1,4,3,4,5.98,1,1,92.8,0.2,7.386272944932163,19.323244666842246,1
62,2024-12-15,3,1,0,1,6,2.74,0,0,0.0,0.0,1.0933758978451718,28.98486700026337,0
63,2023-11-16,3,1,2,2,6,6.1,0,0,0.0,0.0,2.4341580207501994,28.98486700026337,2
64,2024-10-11,4,1,4,3,9,7.15,1,1,56.72,0.1,7.853152434158021,43.47730050039505,1
65,2024-01-11,4,2,1,3,6,7.16,1,1,95.79,0.14285714285714285,7.857142857142858,28.98486700026337,1
66,2023-06-14,1,1,0,5,9,2.26,1,0,0.0,0.1,0.9018355945730248,43.47730050039505,0
67,2024-10-26,1,0,3,0,4,5.3,0,0,0.0,0.0,2.1149241819632882,19.323244666842246,0
68,2023-07-17,2,1,2,2,8,5.03,0,0,0.0,0.0,2.0071827613727056,38.64648933368449,0
69,2023-10-16,0,0,5,0,5,6.81,1,0,0.0,0.16666666666666666,2.717478052673583,24.154055833552807,2
70,2023-08-16,2,0,0,2,8,8.66,1,1,232.38,0.1111111111111111,8.455706304868317,38.64648933368449,1
71,2023-09-11,0,2,0,2,8,5.59,1,1,69.12,0.1111111111111111,7.230646448523544,38.64648933368449,1
72,2023-11-20,3,0,0,4,5,4.75,0,1,44.22,0.0,6.8954509177972865,24.154055833552807,1
73,2024-07-20,3,1,3,3,6,4.17,0,1,80.2,0.0,6.664006384676776,28.98486700026337,1
74,2023-07-29,1,0,3,0,6,3.61,0,0,0.0,0.0,1.4405426975259377,28.98486700026337,0
75,2023-10-12,5,0,1,3,3,6.55,1,0,0.0,0.25,2.6137270550678373,14.492433500131686,2
76,2023-03-25,3,0,4,2,6,4.26,0,1,13.26,0.0,6.699920191540303,28.98486700026337,1
77,2024-10-31,3,2,4,2,3,4.57,1,0,0.0,0.25,1.8236233040702317,14.492433500131686,0
78,2023-07-13,3,1,3,0,6,6.21,0,1,96.87,0.0,7.4780526735834005,28.98486700026337,1
79,2023-03-28,2,0,3,0,8,5.41,1,0,0.0,0.1111111111111111,2.158818834796489,38.64648933368449,0
80,2023-08-17,3,1,1,2,4,7.63,1,1,28.94,0.2,8.044692737430168,19.323244666842246,1
81,2023-06-14,2,0,1,4,4,8.73,1,0,0.0,0.2,3.483639265762171,19.323244666842246,2
82,2024-07-01,2,2,0,5,8,7.54,1,0,0.0,0.1111111111111111,3.00877893056664,38.64648933368449,2
83,2023-09-13,0,2,1,3,7,7.94,1,0,0.0,0.125,3.1683958499600964,33.81567816697393,2
84,2023-04-25,5,0,3,2,7,5.94,0,1,141.39,0.0,7.370311252992817,33.81567816697393,1
85,2023-05-08,1,2,4,2,5,8.3,1,0,0.0,0.16666666666666666,3.3120510774142065,24.154055833552807,2
86,2023-12-08,0,0,2,2,7,5.68,0,0,0.0,0.0,2.2665602553870707,33.81567816697393,0
87,2024-07-29,1,0,4,5,4,7.61,1,0,0.0,0.2,3.036711891460495,19.323244666842246,2
88,2023-10-23,5,1,4,2,9,6.6,0,1,11.46,0.0,7.6336791699920195,43.47730050039505,1
89,2024-05-21,5,1,4,2,5,5.93,1,0,0.0,0.16666666666666666,2.3663208300079805,24.154055833552807,2
90,2023-02-08,0,1,1,2,2,9.54,0,1,131.62,0.0,8.806863527533919,9.661622333421123,1
91,2023-01-17,1,1,4,5,11,4.81,0,0,0.0,0.0,1.9193934557063046,53.138922833816174,0
92,2024-05-03,3,2,2,0,5,7.64,0,0,0.0,0.0,3.048683160415004,24.154055833552807,2
93,2023-05-17,0,2,4,5,5,6.27,0,0,0.0,0.0,2.501995211492418,24.154055833552807,2
94,2024-03-18,4,0,3,1,4,3.92,1,0,0.0,0.2,1.564245810055866,19.323244666842246,0
95,2024-06-10,0,0,3,4,11,8.56,0,0,0.0,0.0,3.4158020750199523,53.138922833816174,2
96,2024-08-30,2,1,0,1,12,4.25,0,0,0.0,0.0,1.6959297685554668,57.96973400052674,0
97,2024-10-31,4,0,5,2,6,7.59,0,0,0.0,0.0,3.0287310454908223,28.98486700026337,2
98,2023-05-20,3,0,4,5,11,8.28,0,1,50.97,0.0,8.304070231444534,53.138922833816174,1
99,2023-04-17,3,1,4,3,4,5.01,1,1,58.36,0.2,6.999201915403033,19.323244666842246,1
100,2024-07-26,1,0,3,4,9,1.51,0,0,0.0,0.0,0.6025538707102953,43.47730050039505,0
101,2023-07-14,3,1,5,4,8,4.24,0,1,31.99,0.0,6.69193934557063,38.64648933368449,1
102,2024-08-15,5,0,4,1,7,5.98,1,1,141.27,0.125,7.386272944932163,33.81567816697393,1
103,2024-07-24,4,2,0,5,11,6.13,1,0,0.0,0.08333333333333333,2.4461292897047087,53.138922833816174,2
104,2023-12-29,3,2,4,4,3,9.13,0,0,0.0,0.0,3.6432561851556273,14.492433500131686,2
105,2024-06-08,0,1,3,4,8,6.69,1,1,61.87,0.1111111111111111,7.669592976855547,38.64648933368449,1
106,2023-08-10,3,1,0,5,9,6.56,0,0,0.0,0.0,2.6177174780526737,43.47730050039505,2
107,2023-07-29,5,0,5,5,7,9.13,1,0,0.0,0.125,3.6432561851556273,33.81567816697393,2
108,2024-03-05,5,2,5,3,7,5.87,1,1,44.65,0.125,7.342378292098963,33.81567816697393,1
109,2024-01-17,0,2,5,5,6,5.29,0,1,124.61,0.0,7.110933758978452,28.98486700026337,1
110,2023-06-12,2,0,2,2,4,5.59,0,1,81.58,0.0,7.230646448523544,19.323244666842246,1
111,2024-08-13,0,0,5,2,3,5.54,1,0,0.0,0.25,2.2106943335993616,14.492433500131686,0
112,2024-06-19,3,0,3,1,6,4.65,0,0,0.0,0.0,1.8555466879489226,28.98486700026337,0
113,2024-12-26,4,1,0,0,6,9.6,0,0,0.0,0.0,3.8308060654429372,28.98486700026337,2
114,2024-01-01,1,2,1,5,10,5.35,0,0,0.0,0.0,2.1348762968874704,48.308111667105614,0
115,2024-11-03,3,1,2,1,2,6.1,0,0,0.0,0.0,2.4341580207501994,9.661622333421123,2
116,2024-08-11,5,2,2,4,3,9.6,1,0,0.0,0.25,3.8308060654429372,14.492433500131686,2
117,2024-03-03,1,2,3,0,4,7.28,1,0,0.0,0.2,2.905027932960894,19.323244666842246,2
118,2024-02-20,5,1,5,4,11,4.84,0,0,0.0,0.0,1.9313647246608139,53.138922833816174,0
119,2023-01-12,3,0,3,1,6,5.95,0,1,65.42,0.0,7.374301675977653,28.98486700026337,1
120,2024-12-23,5,2,2,4,7,10.28,0,0,0.0,0.0,4.102154828411812,33.81567816697393,2
121,2023-11-28,1,0,4,1,9,11.19,0,0,0.0,0.0,4.465283320031924,43.47730050039505,2
122,2024-07-31,5,1,3,3,8,6.82,1,0,0.0,0.1111111111111111,2.72146847565842,38.64648933368449,2
123,2024-06-03,2,1,3,1,7,4.21,0,0,0.0,0.0,1.6799680766161211,33.81567816697393,0
124,2023-08-19,4,0,0,1,6,5.72,1,0,0.0,0.14285714285714285,2.2825219473264164,28.98486700026337,0
125,2024-02-28,5,0,3,1,6,4.82,1,0,0.0,0.14285714285714285,1.9233838786911415,28.98486700026337,0
126,2023-05-13,3,0,2,0,5,2.1,0,0,0.0,0.0,0.8379888268156426,24.154055833552807,0
127,2023-07-23,5,1,1,4,7,5.86,0,1,64.76,0.0,7.338387869114126,33.81567816697393,1
128,2023-04-29,4,1,3,2,3,6.38,1,0,0.0,0.25,2.5458898643256185,14.492433500131686,2
129,2023-08-30,0,1,1,4,2,4.21,1,0,0.0,0.3333333333333333,1.6799680766161211,9.661622333421123,0
130,2023-07-04,4,1,5,4,6,6.13,0,0,0.0,0.0,2.4461292897047087,28.98486700026337,2
131,2024-10-30,0,2,1,1,11,6.24,0,1,141.6,0.0,7.49002394253791,53.138922833816174,1
132,2024-10-15,1,0,2,2,6,8.37,1,0,0.0,0.14285714285714285,3.33998403830806,28.98486700026337,2
133,2024-11-18,4,1,4,4,4,8.45,1,0,0.0,0.2,3.3719074221867515,19.323244666842246,2
134,2024-04-26,3,1,4,0,7,7.39,0,0,0.0,0.0,2.948922585794094,33.81567816697393,2
135,2024-12-11,4,2,5,0,7,3.62,1,1,84.12,0.125,6.4445331205107745,33.81567816697393,1
136,2023-03-26,1,2,2,0,4,3.69,0,0,0.0,0.0,1.4724660814046289,19.323244666842246,0
137,2023-10-27,1,1,5,2,10,2.93,1,1,21.49,0.09090909090909091,6.169193934557063,48.308111667105614,0
138,2023-11-30,0,0,2,5,6,5.04,0,0,0.0,0.0,2.011173184357542,28.98486700026337,0
139,2024-10-19,1,2,0,1,8,7.9,0,1,37.99,0.0,8.15243415802075,38.64648933368449,1
140,2024-01-20,0,2,3,4,4,6.49,1,1,263.49,0.2,7.589784517158819,19.323244666842246,1
141,2024-01-13,2,1,0,4,9,7.17,0,0,0.0,0.0,2.861133280127693,43.47730050039505,2
142,2024-08-03,1,0,0,2,5,7.36,0,0,0.0,0.0,2.9369513168395853,24.154055833552807,2
143,2024-03-30,0,0,4,4,7,4.39,0,1,192.19,0.0,6.751795690343176,33.81567816697393,1
144,2023-10-07,0,0,5,0,4,5.24,0,1,56.7,0.0,7.090981644054271,19.323244666842246,1
145,2024-10-09,0,0,4,3,7,3.31,1,1,118.91,0.125,6.320830007980846,33.81567816697393,1
146,2023-02-27,5,0,0,0,8,7.12,0,1,70.67,0.0,7.841181165203512,38.64648933368449,1
147,2023-07-27,0,2,3,5,4,1.33,0,1,44.06,0.0,5.5307262569832405,19.323244666842246,0
148,2023-09-05,1,0,1,5,7,7.01,1,0,0.0,0.125,2.7972865123703112,33.81567816697393,2
149,2024-04-25,3,0,5,3,5,7.16,0,1,77.16,0.0,7.857142857142858,24.154055833552807,1
150,2023-09-19,2,2,4,1,9,5.81,1,1,100.54,0.1,7.318435754189944,43.47730050039505,1
151,2023-03-14,4,0,1,0,3,7.2,0,1,110.63,0.0,7.8731045490822025,14.492433500131686,1
152,2023-09-10,0,1,4,0,8,6.24,0,0,0.0,0.0,2.4900239425379094,38.64648933368449,2
153,2024-01-27,0,1,0,2,4,5.18,1,1,83.49,0.2,7.067039106145252,19.323244666842246,1
154,2024-03-22,4,2,0,1,6,5.57,0,1,177.08,0.0,7.222665602553871,28.98486700026337,1
155,2023-02-25,1,0,2,3,4,4.58,0,0,0.0,0.0,1.827613727055068,19.323244666842246,0
156,2024-08-31,0,0,3,3,9,7.71,1,0,0.0,0.1,3.076616121308859,43.47730050039505,2
157,2024-04-27,5,1,2,3,6,4.85,0,0,0.0,0.0,1.9353551476456503,28.98486700026337,0
158,2024-10-11,2,2,2,0,7,1.0,0,0,0.0,0.0,0.39904229848363926,33.81567816697393,0
159,2024-04-09,2,2,4,3,5,3.61,0,0,0.0,0.0,1.4405426975259377,24.154055833552807,0
160,2023-08-15,0,2,1,0,10,5.92,0,1,251.64,0.0,7.362330407023144,48.308111667105614,1
161,2024-12-26,2,1,3,1,5,4.79,1,0,0.0,0.16666666666666666,1.9114126097366322,24.154055833552807,0
162,2023-04-11,0,1,2,0,2,7.59,1,0,0.0,0.3333333333333333,3.0287310454908223,9.661622333421123,2
163,2023-01-17,5,1,0,5,8,8.46,0,0,0.0,0.0,3.375897845171589,38.64648933368449,2
164,2023-12-16,2,1,4,3,4,7.9,1,0,0.0,0.2,3.1524341580207507,19.323244666842246,2
165,2023-11-25,3,0,3,0,4,6.07,1,1,40.85,0.2,7.4221867517956905,19.323244666842246,1
166,2023-05-29,0,2,4,5,4,6.08,1,0,0.0,0.2,2.426177174780527,19.323244666842246,2
167,2023-10-15,4,0,4,1,5,3.91,0,0,0.0,0.0,1.5602553870710298,24.154055833552807,0
168,2024-02-18,1,0,4,0,4,2.07,1,1,113.1,0.2,5.8260175578611335,19.323244666842246,1
169,2024-06-13,5,2,1,0,7,5.28,0,1,83.06,0.0,7.106943335993615,33.81567816697393,1
170,2024-06-24,4,1,0,4,5,2.57,0,0,0.0,0.0,1.025538707102953,24.154055833552807,0
171,2024-02-25,1,0,0,3,9,5.5,0,1,65.66,0.0,7.194732641660016,43.47730050039505,1
172,2023-04-14,4,0,2,1,9,9.28,1,1,314.87,0.1,8.703112529928173,43.47730050039505,1
173,2023-01-14,4,1,5,4,9,8.42,0,0,0.0,0.0,3.3599361532322423,43.47730050039505,2
174,2024-04-13,4,2,2,3,1,7.24,0,0,0.0,0.0,2.889066241021548,4.8308111667105615,2
175,2023-07-07,5,1,1,1,6,9.08,1,1,233.18,0.14285714285714285,8.623304070231445,28.98486700026337,1
176,2024-08-16,5,2,3,2,3,4.02,1,1,88.65,0.25,6.60415003990423,14.492433500131686,1
177,2023-04-27,2,0,5,5,6,5.83,1,1,60.58,0.14285714285714285,7.326416600159617,28.98486700026337,1
178,2023-04-28,2,0,2,3,6,5.26,1,1,140.18,0.14285714285714285,7.0989624900239425,28.98486700026337,1
179,2024-07-26,2,0,4,1,9,5.18,0,0,0.0,0.0,2.0670391061452515,43.47730050039505,0
180,2023-02-18,3,2,1,0,8,7.06,0,0,0.0,0.0,2.8172386272944934,38.64648933368449,2
181,2024-11-16,3,0,5,0,6,5.8,0,0,0.0,0.0,2.314445331205108,28.98486700026337,0
182,2023-08-08,2,2,0,1,7,5.59,1,0,0.0,0.125,2.2306464485235438,33.81567816697393,0
183,2023-09-07,1,2,3,0,5,7.57,0,0,0.0,0.0,3.0207501995211494,24.154055833552807,2
184,2023-07-18,5,0,1,0,9,4.22,0,0,0.0,0.0,1.6839584996009576,43.47730050039505,0
185,2024-01-19,3,0,5,1,3,4.79,0,0,0.0,0.0,1.9114126097366322,14.492433500131686,0
186,2023-10-16,0,0,0,3,5,9.26,1,1,62.49,0.16666666666666666,8.6951316839585,24.154055833552807,1
187,2024-05-31,2,1,4,5,8,4.34,0,1,38.52,0.0,6.731843575418995,38.64648933368449,1
188,2023-02-01,3,0,4,5,5,5.88,0,1,52.7,0.0,7.346368715083798,24.154055833552807,1
189,2023-01-26,0,1,2,1,5,2.87,0,1,33.19,0.0,6.145251396648044,24.154055833552807,0
190,2024-03-02,2,1,1,3,8,1.74,1,0,0.0,0.1111111111111111,0.6943335993615324,38.64648933368449,0
191,2023-08-26,3,0,1,4,8,4.91,1,1,43.42,0.1111111111111111,6.959297685554668,38.64648933368449,1
192,2023-09-17,5,0,5,4,9,4.15,1,1,147.5,0.1,6.6560255387071035,43.47730050039505,1
193,2024-10-01,2,0,1,4,3,7.16,0,0,0.0,0.0,2.8571428571428577,14.492433500131686,2
194,2024-12-01,3,0,2,1,8,6.65,0,0,0.0,0.0,2.6536312849162016,38.64648933368449,2
195,2023-05-11,1,1,5,3,5,4.8,1,1,192.39,0.16666666666666666,6.915403032721469,24.154055833552807,1
196,2023-03-16,0,1,0,2,8,3.64,1,0,0.0,0.1111111111111111,1.452513966480447,38.64648933368449,0
197,2024-03-29,3,1,3,2,8,8.38,0,0,0.0,0.0,3.3439744612928974,38.64648933368449,2
198,2024-09-20,1,1,3,3,6,6.56,1,0,0.0,0.14285714285714285,2.6177174780526737,28.98486700026337,2
199,2024-03-18,2,2,2,5,6,7.49,1,0,0.0,0.14285714285714285,2.9888268156424584,28.98486700026337,2
200,2024-08-18,5,0,0,4,3,7.08,1,1,123.59,0.25,7.825219473264166,14.492433500131686,1
201,2023-03-14,4,1,4,5,6,4.18,0,0,0.0,0.0,1.6679968076616123,28.98486700026337,0
202,2024-01-11,0,2,2,3,4,6.18,1,1,49.87,0.2,7.466081404628891,19.323244666842246,1
203,2024-09-23,4,1,4,2,3,7.59,1,0,0.0,0.25,3.0287310454908223,14.492433500131686,2
204,2023-02-04,4,2,0,0,6,9.44,0,0,0.0,0.0,3.766959297685555,28.98486700026337,2
205,2023-02-04,2,2,3,2,9,5.83,1,0,0.0,0.1,2.326416600159617,43.47730050039505,2
206,2023-08-20,1,2,0,3,7,4.21,0,1,29.22,0.0,6.679968076616121,33.81567816697393,1
207,2023-09-19,3,2,5,1,2,6.21,1,0,0.0,0.3333333333333333,2.4780526735834,9.661622333421123,2
208,2023-12-28,1,1,4,2,6,5.06,0,0,0.0,0.0,2.0191540303272144,28.98486700026337,0
209,2023-02-18,4,2,1,1,2,8.17,1,0,0.0,0.3333333333333333,3.260175578611333,9.661622333421123,2
210,2023-12-29,4,1,4,1,4,4.84,1,0,0.0,0.2,1.9313647246608139,19.323244666842246,0
211,2024-07-24,4,1,1,0,7,3.24,0,1,9.39,0.0,6.292897047086991,33.81567816697393,0
212,2023-09-25,3,0,5,1,7,7.62,0,1,98.3,0.0,8.040702314445332,33.81567816697393,1
213,2023-11-20,2,2,3,0,5,5.74,0,0,0.0,0.0,2.2905027932960893,24.154055833552807,0
214,2023-04-15,5,2,4,1,6,6.15,0,0,0.0,0.0,2.4541101356743815,28.98486700026337,2
215,2024-03-29,4,2,4,0,4,2.61,0,0,0.0,0.0,1.0415003990422984,19.323244666842246,0
216,2023-12-23,2,0,0,5,7,4.71,0,0,0.0,0.0,1.879489225857941,33.81567816697393,0
217,2024-01-10,4,0,3,2,7,5.28,1,0,0.0,0.125,2.1069433359936154,33.81567816697393,0
218,2023-04-28,4,0,3,0,6,6.46,1,0,0.0,0.14285714285714285,2.57781324820431,28.98486700026337,2
219,2023-05-28,1,2,0,0,4,8.55,1,0,0.0,0.2,3.411811652035116,19.323244666842246,2
220,2024-07-29,4,1,1,4,7,5.0,0,0,0.0,0.0,1.9952114924181965,33.81567816697393,0
221,2024-03-18,5,0,3,4,4,5.7,0,0,0.0,0.0,2.274541101356744,19.323244666842246,0
222,2023-05-05,4,0,5,5,6,7.47,1,1,14.58,0.14285714285714285,7.980845969672785,28.98486700026337,1
223,2023-03-09,0,0,4,2,7,3.03,1,1,68.25,0.125,6.209098164405427,33.81567816697393,1
224,2024-06-16,1,1,2,3,6,3.36,1,0,0.0,0.14285714285714285,1.3407821229050279,28.98486700026337,0
225,2024-03-10,0,0,1,5,8,6.91,1,0,0.0,0.1111111111111111,2.7573822825219474,38.64648933368449,2
226,2023-04-01,5,2,1,1,7,7.52,1,0,0.0,0.125,3.0007980845969673,33.81567816697393,2
227,2024-07-11,0,0,1,2,5,5.9,0,0,0.0,0.0,2.354349561053472,24.154055833552807,2
228,2024-08-09,3,0,3,0,9,9.28,1,1,99.67,0.1,8.703112529928173,43.47730050039505,1
229,2023-11-25,0,1,5,1,2,6.18,1,0,0.0,0.3333333333333333,2.466081404628891,9.661622333421123,2
230,2023-05-27,1,0,1,5,3,7.77,1,0,0.0,0.25,3.100558659217877,14.492433500131686,2
231,2024-07-19,1,0,1,1,10,7.58,1,0,0.0,0.09090909090909091,3.024740622505986,48.308111667105614,2
232,2024-06-25,1,0,5,1,4,6.84,1,1,40.46,0.2,7.729449321628092,19.323244666842246,1
233,2024-11-06,2,0,5,4,5,6.94,1,1,9.42,0.16666666666666666,7.769353551476456,24.154055833552807,1
234,2023-02-14,5,1,0,3,5,7.32,0,0,0.0,0.0,2.9209896249002396,24.154055833552807,2
235,2023-01-13,4,1,0,5,6,7.88,0,0,0.0,0.0,3.144453312051078,28.98486700026337,2
236,2023-08-19,0,1,3,3,8,6.02,0,0,0.0,0.0,2.4022346368715084,38.64648933368449,2
237,2024-03-31,0,0,5,1,6,8.01,0,0,0.0,0.0,3.1963288108539505,28.98486700026337,2
238,2023-09-17,1,2,4,4,5,6.67,0,1,28.73,0.0,7.6616121308858744,24.154055833552807,1
239,2023-08-29,3,1,5,3,3,5.34,1,0,0.0,0.25,2.130885873902634,14.492433500131686,0
240,2023-11-21,4,1,5,2,6,6.31,1,1,22.19,0.14285714285714285,7.517956903431764,28.98486700026337,1
241,2024-02-05,0,2,3,4,6,7.04,1,1,32.77,0.14285714285714285,7.8092577813248205,28.98486700026337,1
242,2024-03-27,3,1,4,4,6,6.82,0,0,0.0,0.0,2.72146847565842,28.98486700026337,2
243,2023-10-30,0,1,0,0,4,5.75,1,0,0.0,0.2,2.2944932162809257,19.323244666842246,0
244,2024-02-01,3,1,4,4,9,7.35,0,1,58.53,0.0,7.932960893854748,43.47730050039505,1
245,2023-05-29,2,0,1,4,5,8.0,1,0,0.0,0.16666666666666666,3.192338387869114,24.154055833552807,2
246,2023-02-22,5,1,5,0,7,7.03,1,0,0.0,0.125,2.8052673583399845,33.81567816697393,2
247,2023-07-01,3,1,1,0,5,5.46,0,0,0.0,0.0,2.1787709497206706,24.154055833552807,0
248,2024-08-26,3,2,0,1,3,9.13,1,1,50.0,0.25,8.643256185155627,14.492433500131686,1
249,2024-05-15,3,1,3,5,8,4.85,1,1,155.37,0.1111111111111111,6.93535514764565,38.64648933368449,1
250,2024-05-18,4,1,3,2,4,6.36,0,0,0.0,0.0,2.537909018355946,19.323244666842246,2
251,2024-02-16,1,0,4,5,6,10.25,1,1,91.62,0.14285714285714285,9.090183559457301,28.98486700026337,1
252,2024-06-12,1,1,4,0,3,8.56,1,0,0.0,0.25,3.4158020750199523,14.492433500131686,2
253,2024-11-23,2,0,5,5,9,7.12,0,1,92.68,0.0,7.841181165203512,43.47730050039505,1
